66.249.71.212 - - [08/Oct/2022:13:26:00 +0530] "GET /robots.txt HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
34.254.53.125 - - [08/Oct/2022:13:26:46 +0530] "GET / HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:83.0) Gecko/20100101 Firefox/83.0"
34.254.53.125 - - [08/Oct/2022:13:26:47 +0530] "GET / HTTP/2.0" 200 1345 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:104.0) Gecko/20100101 Firefox/104.0"
34.254.53.125 - - [08/Oct/2022:13:26:48 +0530] "GET /favicon.ico HTTP/2.0" 200 1345 "https://devnode.kit.cyber.lk/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:104.0) Gecko/20100101 Firefox/104.0"
66.249.68.88 - - [08/Oct/2022:13:29:04 +0530] "GET /International_Macroeconomics_And_Finance_Solution_Manual/view_all.cgi?x=X9M3U1 HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.125 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
90.151.171.106 - - [08/Oct/2022:13:31:36 +0530] "\x04\x01\x00P\x05\xB2VL0\x00" 400 150 "-" "-"
90.151.171.106 - - [08/Oct/2022:13:31:45 +0530] "GET http://check.best-proxies.ru/ip.php?Z78643750612Q1 HTTP/1.1" 301 162 "https://google.com/" "Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0 (+https://best-proxies.ru/faq/#from)"
90.151.171.106 - - [08/Oct/2022:13:31:46 +0530] "\x05\x01\x00" 400 150 "-" "-"
66.249.71.182 - - [08/Oct/2022:13:32:00 +0530] "GET /Walt_And_The_Promise_Of_Progress_City_Sam_Gennawey/context?i=M1C7Y5 HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.125 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
175.157.36.75 - - [08/Oct/2022:13:32:08 +0530] "GET / HTTP/2.0" 200 1345 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:32:10 +0530] "GET /favicon.ico HTTP/2.0" 200 1345 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
